Decimal    Binary     Hexadecimal   Octal
   1      00000001          1         1
   2      00000010          2         2
   3      00000011          3         3
   4      00000100          4         4
   5      00000101          5         5
   6      00000110          6         6
   7      00000111          7         7
   8      00001000          8        10
   9      00001001          9        11
  10      00001010          A        12
  11      00001011          B        13
  12      00001100          C        14
  13      00001101          D        15
  14      00001110          E        16
  15      00001111          F        17
  16      00010000         10        20
  17      00010001         11        21
  18      00010010         12        22
  19      00010011         13        23
  20      00010100         14        24
  21      00010101         15        25
  22      00010110         16        26
  23      00010111         17        27
  24      00011000         18        30
  25      00011001         19        31
  26      00011010         1A        32
  27      00011011         1B        33
  28      00011100         1C        34
  29      00011101         1D        35
  30      00011110         1E        36
  31      00011111         1F        37
  32      00100000         20        40
  33      00100001         21        41
  34      00100010         22        42
  35      00100011         23        43
  36      00100100         24        44
  37      00100101         25        45
  38      00100110         26        46
  39      00100111         27        47
  40      00101000         28        50
  41      00101001         29        51
  42      00101010         2A        52
  43      00101011         2B        53
  44      00101100         2C        54
  45      00101101         2D        55
  46      00101110         2E        56
  47      00101111         2F        57
  48      00110000         30        60
  49      00110001         31        61
  50      00110010         32        62
  51      00110011         33        63
  52      00110100         34        64
  53      00110101         35        65
  54      00110110         36        66
  55      00110111         37        67
  56      00111000         38        70
  57      00111001         39        71
  58      00111010         3A        72
  59      00111011         3B        73
  60      00111100         3C        74
  61      00111101         3D        75
  62      00111110         3E        76
  63      00111111         3F        77
  64      01000000         40       100
  65      01000001         41       101
  66      01000010         42       102
  67      01000011         43       103
  68      01000100         44       104
  69      01000101         45       105
  70      01000110         46       106
  71      01000111         47       107
  72      01001000         48       110
  73      01001001         49       111
  74      01001010         4A       112
  75      01001011         4B       113
  76      01001100         4C       114
  77      01001101         4D       115
  78      01001110         4E       116
  79      01001111         4F       117
  80      01010000         50       120
  81      01010001         51       121
  82      01010010         52       122
  83      01010011         53       123
  84      01010100         54       124
  85      01010101         55       125
  86      01010110         56       126
  87      01010111         57       127
  88      01011000         58       130
  89      01011001         59       131
  90      01011010         5A       132
  91      01011011         5B       133
  92      01011100         5C       134
  93      01011101         5D       135
  94      01011110         5E       136
  95      01011111         5F       137
  96      01100000         60       140
  97      01100001         61       141
  98      01100010         62       142
  99      01100011         63       143
 100      01100100         64       144
 101      01100101         65       145
 102      01100110         66       146
 103      01100111         67       147
 104      01101000         68       150
 105      01101001         69       151
 106      01101010         6A       152
 107      01101011         6B       153
 108      01101100         6C       154
 109      01101101         6D       155
