5000 10000
4633 3206 331702
4145 995 30124
4489 657 135299
948 1116 290017
4035 4443 971988
3576 558 694107
1773 1531 50220
3930 3394 7140
1804 4768 171933
1233 948 542034
2899 4616 884827
1320 4751 208237
2832 2775 713734
1520 1692 424587
3554 2358 158994
493 3776 40402
4662 3613 300669
4559 1411 499301
3373 2540 521151
3833 4284 264621
1401 2758 966365
2979 3915 813134
1031 4039 562826
3101 320 931296
1618 3516 424778
3134 847 466392
4794 4354 954550
2613 823 300780
1657 1964 913567
4496 978 585886
3277 4319 185319
2420 3495 680437
1019 1253 550860
612 2886 559963
4403 797 613002
458 3622 616798
3902 3822 544133
2412 2280 284560
2623 1534 178011
1164 3724 568771
2401 1018 158366
4786 2385 789847
3877 3684 214857
4832 1577 629600
1063 2683 215866
2107 1 251666
4004 3793 333437
3396 839 438789
154 873 167402
3312 2805 865649
4399 3081 143360
2066 4482 375738
3228 269 352603
3667 2984 692908
3155 2222 780610
3562 3571 874302
2513 1518 696815
2932 261 66118
1026 799 580543
2956 1307 576095
1274 3687 64181
1591 3803 394241
3037 4853 767108
3328 4572 727999
627 1436 153084
699 3794 910508
4784 2650 199256
413 2908 150763
3749 3879 554955
1032 4050 537486
2071 4735 104575
1946 4898 528799
3046 851 614644
4853 988 330358
2774 4090 778912
4516 4130 146338
388 2429 803918
1764 809 568168
1821 2305 714575
3365 2789 262915
2569 850 975624
4139 423 611566
690 1943 244909
1677 1473 837750
2097 4361 74403
2265 3202 692161
1081 2465 591987
689 1856 949527
407 725 514176
2427 4975 569115
590 1228 567703
100 2780 135872
1550 3503 376288
1434 3676 320675
266 3470 209166
1958 2183 826769
836 230 310643
2657 4932 156027
1883 1734 734712
1008 3049 174405
890 3388 960656
1959 3399 24817
2110 2202 979489
3080 1050 309812
2295 2279 932939
4679 935 911817
416 1341 797100
1096 4526 620721
2299 193 589036
2639 1246 53484
4138 1546 499987
318 2920 70217
1119 485 187075
4140 4284 144503
842 497 780178
1095 2175 580189
1858 3974 132704
3097 2061 335658
2013 4075 420843
3037 4573 220134
3239 1133 656553
4111 1447 333747
3802 3020 299210
4666 4758 649355
2362 3758 718797
4645 3113 188831
2449 3086 722768
1177 636 754217
3219 424 187485
3876 256 69733
4818 4669 93430
2464 1569 358760
274 4232 15297
3262 3060 899159
611 3539 171152
2019 2158 658748
1017 2730 48336
4307 2944 440173
3200 49 727802
1607 3504 194503
1839 3579 561473
2409 2446 519992
3358 2480 684311
4730 1530 104082
2977 1293 677638
1239 97 321768
2051 1155 249148
3676 405 473259
3883 560 588224
966 3982 569155
4948 3834 990836
564 2644 480103
3445 1065 707285
2284 3490 994219
4594 3876 138917
4994 1996 301500
4770 3682 172582
4869 4463 595666
4894 1040 386776
2092 4424 714819
794 1446 753956
2470 3314 984644
4536 1202 203614
152 41 583311
432 2184 231498
4424 1868 186265
4791 1078 396439
2869 3276 314677
838 2247 996782
4479 4393 852799
1419 187 980756
1814 3093 495522
3877 1663 763321
1406 181 342120
3830 1887 494629
2789 4473 842075
2210 3967 690430
296 2970 4509
1248 2857 913078
271 2169 361308
1666 147 339950
4540 1463 152487
3386 3872 945626
3737 3075 413975
4510 4686 661041
2926 276 198685
610 1919 705139
4615 3730 831887
1954 1278 612248
1501 2625 63319
2180 3026 373936
4237 3581 417241
4071 356 570167
165 1485 121590
4433 409 960829
501 1484 67704
394 3982 864856
3674 1179 326934
3721 1119 556097
1804 3734 577883
1397 4731 329810
4318 4694 187418
731 47 378056
1113 144 138876
1833 4650 36608
1969 2510 764762
4309 1386 615946
2787 472 395551
238 4079 337558
667 1787 306035
1695 4288 744332
4365 2895 726508
2889 4444 719958
4464 3263 45619
4922 2986 271211
1137 2292 943601
4869 4752 386536
1448 841 410023
1070 1722 792512
2910 2341 997312
2101 1102 959631
4393 4940 101323
2728 4991 867429
3120 3264 262826
3230 581 214400
963 918 642518
2401 1543 357278
3555 4503 360862
986 2416 892821
3183 2933 259176
4483 4730 664859
43 738 580585
3743 3633 611495
4100 4893 777369
2254 2167 72162
1467 4734 199122
3391 1479 572226
214 4501 283816
1408 1639 686930
928 2842 338970
2465 2320 359675
2572 4720 465604
3203 3252 525131
1194 4019 117014
2149 2677 130020
3301 1415 202434
3065 1060 72881
4662 2965 216306
1118 1610 947751
1376 4740 707300
3154 4959 657944
4979 3521 618123
3848 23 687351
470 2514 920970
4661 4050 958531
591 4517 511087
977 4430 425451
4629 745 203648
3300 4463 405453
2253 4758 27452
3989 3928 746223
1131 3358 266156
1009 2762 134449
3942 4954 524379
4722 3806 674074
3980 4800 125723
1734 4209 793580
2073 3746 395296
2851 986 223532
3393 4422 324334
723 4640 938569
1488 2565 874249
488 2200 793944
4782 3924 547374
1336 1888 451517
3489 3287 721688
3442 2756 43587
4264 3397 455601
4450 2331 88890
4046 2184 459925
589 4737 231129
2664 146 133552
4394 3877 372872
1993 737 564587
1375 3731 445053
2599 889 609072
328 1433 398037
2175 1016 458406
1014 3346 857317
3663 4754 652177
2734 4309 277846
3777 3580 838928
3383 300 273616
3811 491 266302
640 429 20494
4545 2252 233774
2633 510 53911
2395 2068 487481
457 2257 326644
2519 3249 861411
3168 1143 784296
4951 3893 925386
2873 1323 717562
2336 884 6567
1422 4032 285338
1527 2852 411980
3074 1160 115184
4855 4538 545772
3300 2884 500513
420 1372 423644
4225 2297 624144
43 547 832086
